State_County,State,County,Latest Cases,Latest Deaths,Latest Mortality
New York_Westchester,New York,Westchester,220,0,0%
New York_Nassau,New York,Nassau,109,0,0%
New York_Suffolk,New York,Suffolk,74,2,2.70%
New York_Rockland,New York,Rockland,16,1,6.30%
New York_Albany,New York,Albany,15,0,0%
New York_Monroe,New York,Monroe,11,0,0%
New York_Orange,New York,Orange,11,0,0%
New York_Dutchess,New York,Dutchess,10,0,0%
New York_Ulster,New York,Ulster,7,0,0%
New York_Erie,New York,Erie,7,0,0%
New York_Saratoga,New York,Saratoga,5,0,0%
New York_Schenectady,New York,Schenectady,4,0,0%
New York_Tompkins,New York,Tompkins,2,0,0%
New York_Putnam,New York,Putnam,2,0,0%
New York_Greene,New York,Greene,2,0,0%
New York_Allegany,New York,Allegany,2,0,0%
New York_Onondaga,New York,Onondaga,2,0,0%
New York_Delaware,New York,Delaware,1,0,0%
New York_Herkimer,New York,Herkimer,1,0,0%
New York_Broome,New York,Broome,1,0,0%
New York_Tioga,New York,Tioga,1,0,0%
New York_Montgomery,New York,Montgomery,1,0,0%
New York_Ontario,New York,Ontario,1,0,0%
New York_Clinton,New York,Clinton,1,0,0%
Washington_King,Washington,King,488,43,8.80%
Washington_Snohomish,Washington,Snohomish,200,4,2%
Washington_Pierce,Washington,Pierce,38,0,0%
Washington_Grant,Washington,Grant,7,1,14.30%
Washington_Kitsap,Washington,Kitsap,7,0,0%
Washington_Skagit,Washington,Skagit,7,0,0%
Washington_Island,Washington,Island,7,0,0%
Washington_Clark,Washington,Clark,4,0,0%
Washington_Thurston,Washington,Thurston,4,0,0%
Washington_Yakima,Washington,Yakima,4,0,0%
Washington_Jefferson,Washington,Jefferson,3,0,0%
Washington_Kittitas,Washington,Kittitas,3,0,0%
Washington_Whatcom,Washington,Whatcom,3,0,0%
Washington_Spokane,Washington,Spokane,3,0,0%
Washington_Grays Harbor,Washington,Grays Harbor,1,0,0%
Washington_Columbia,Washington,Columbia,1,0,0%
Washington_Lincoln,Washington,Lincoln,1,0,0%
Washington_Cowlitz,Washington,Cowlitz,1,0,0%
Washington_Lewis,Washington,Lewis,1,0,0%
California_Santa Clara,California,Santa Clara,138,4,2.90%
California_Los Angeles,California,Los Angeles,94,1,1.10%
California_San Diego,California,San Diego,55,0,0%
California_San Mateo,California,San Mateo,41,1,2.40%
California_San Francisco,California,San Francisco,40,0,0%
California_Contra Costa,California,Contra Costa,34,0,0%
California_Sacramento,California,Sacramento,33,2,6.10%
California_Orange,California,Orange,22,0,0%
California_Alameda,California,Alameda,18,0,0%
California_Riverside,California,Riverside,15,2,13.30%
California_Marin,California,Marin,11,0,0%
California_Santa Cruz,California,Santa Cruz,9,0,0%
California_San Joaquin,California,San Joaquin,8,0,0%
California_Solano,California,Solano,7,0,0%
California_Sonoma,California,Sonoma,6,0,0%
California_Placer,California,Placer,5,1,20%
California_Ventura,California,Ventura,4,0,0%
California_San Benito,California,San Benito,3,0,0%
California_Stanislaus,California,Stanislaus,3,0,0%
California_Tulare,California,Tulare,3,0,0%
California_San Luis Obispo,California,San Luis Obispo,3,0,0%
California_Yolo,California,Yolo,2,0,0%
California_Fresno,California,Fresno,2,0,0%
California_Calaveras,California,Calaveras,2,0,0%
California_Imperial,California,Imperial,2,0,0%
California_San Bernardino,California,San Bernardino,2,0,0%
California_Humboldt,California,Humboldt,1,0,0%
California_Madera,California,Madera,1,0,0%
California_Shasta,California,Shasta,1,0,0%
California_Santa Barbara,California,Santa Barbara,1,0,0%
California_Nevada,California,Nevada,1,0,0%
Massachusetts_Middlesex,Massachusetts,Middlesex,83,0,0%
Massachusetts_Suffolk,Massachusetts,Suffolk,36,0,0%
Massachusetts_Norfolk,Massachusetts,Norfolk,36,0,0%
Massachusetts_Berkshire,Massachusetts,Berkshire,11,0,0%
Massachusetts_Essex,Massachusetts,Essex,8,0,0%
Massachusetts_Worcester,Massachusetts,Worcester,6,0,0%
Massachusetts_Plymouth,Massachusetts,Plymouth,3,0,0%
Massachusetts_Bristol,Massachusetts,Bristol,2,0,0%
Massachusetts_Barnstable,Massachusetts,Barnstable,1,0,0%
