State,County,Cases,Notes
Alabama,Elmore,1,
Alabama,Jefferson,1,
Alabama,Limestone,1,
Alabama,Montgomery,1,
Alabama,Tuscaloosa,1,
Arizona,Pinal,5,
Arizona,Maricopa,3,
Arizona,Pima ,1,
California,Sacramento,17,
California,Yolo,2,
California,Solano,6,
California,Contra Costa,25,
California,San Francisco,23,
California,San Mateo,20,
California,Santa Clara,79,
California,Riverside,12,
California,Humboldt,1,
California,Shasta,1,
California,Placer,8,
California,Sonoma,3,
California,Marin,3,
California,Calaveras,2,
California,San Joaquin,8,
California,Alameda,9,
California,Stanislaus,2,
California,Madera,1,
California,Fresno,1,
California,San Benito,3,
California,Tulare,1,
California,Ventura,2,
California,Los Angeles,40,
California,Orange,13,
California,San Diego,8,
California,Imperial,2,
California,Santa Cruz,7,
Colorado,Adams,3,
Colorado,Arapahoe,7,
Colorado,Denver,15,
Colorado,Douglas,4,
Colorado,Eagle,16,
Colorado,El Paso,2,
Colorado,Gunnison,4,
Colorado,Jefferson,7,
Colorado,Larimer,1,
Colorado,Pitkin,1,
Colorado,Pueblo,1,
Colorado,Summit,2,
Colorado,Weld,2,
Connecticut,Fairfield,8,
Connecticut,Litchfield,3,
Delaware,New Castle,4,
Florida,Manatee,4,
Florida,Hillsborough,2,
Florida,Santa Rosa,1,
Florida,Broward,19,
Florida,Lee,4,
Florida,Charlotte,1,
Florida,Okaloosa,1,
Florida,Volusia,4,
Florida,Nassau,1,
Florida,Collier,3,
Florida,Pinellas,2,
Florida,Pasco,1,
Florida,Miami-Dade,8,
Florida,Seminole,1,
Florida,Palm Beach,5,
Florida,Sarasota ,1,
Florida,Alachua,1,
Florida,Duval,1,
Florida,Clay ,1,
Florida,Orange,1,
Florida,Osceola,1,
Indiana,LaPorte,1,
Indiana,St. Joseph,1,
Indiana,Noble,1,
Indiana,Wells,1,
Indiana,Adams,1,
Indiana,Howard,1,
Indiana,Boone,1,
Indiana,Hendricks,2,
Indiana,Marion,3,
Indiana,Johnson,3,
Louisiana,Bossier,1,
Louisiana,Caddo,1,
Louisiana,Jefferson,7,
Louisiana,Orleans,36,
Louisiana,St. Charles,1,
Louisiana,St. John the Baptist,1,
Louisiana,St. Tammany,2,
Louisiana,Terrebonne,2,
Massachusetts,Middlesex,60,
Massachusetts,Norfolk,24,
Massachusetts,Suffolk,26,
Massachusetts,Worcester,2,
Massachusetts,Berkshire,9,
Massachusetts,Essex,2,
Mississippi,Forrest,3,
Mississippi,Leflore,1,
Mississippi,Pearl River,1,
Mississippi,Copiah,1,
New York,Westchester,158,
New York,Nassau,51,
New York,Suffolk,28,
New York,Rockland,9,
New York,Ulster,5,
New York,Dutchess,3,
New York,Orange,3,
New York,Saratoga,3,
New York,Albany,2,
New York,Broome,1,
New York,Delaware,1,
New York,Herkimer,1,
New York,Monroe,1,
New York,Schenectady,1,
New York,New York,154,
North Carolina,Forsyth,2,Winston-Salem
North Carolina,Mecklenburg,1,
North Carolina,Cabarrus,1,
North Carolina,Durham,1,
North Carolina,Chatham,1,
North Carolina,Wake,11,
North Carolina,Harnett,1,
North Carolina,Johnston,1,
North Carolina,Wayne,1,
North Carolina,Craven,1,
North Carolina,Onslow,1,
North Carolina,Brunswick,1,
Pennsylvania,Bucks,3,
Pennsylvania,Chester,2,
Pennsylvania,Cumberland,3,
Pennsylvania,Delaware,6,
Pennsylvania,Monroe,3,
Pennsylvania,Northampton,1,
Pennsylvania,Montgomery,20,
Pennsylvania,Philadelphia,4,
Pennsylvania,Pike,1,
Pennsylvania,Washington,1,
Pennsylvania,Wayne,1,
South Dakota,Beadle,1,
South Dakota,Bon Homme,1,
South Dakota,Charles Mix,1,
South Dakota,Davison,1,
South Dakota,McCook,1,
South Dakota,Minnehaha,3,
South Dakota,Pennington,1,
Tennessee,Davidson,10,
Tennessee,Hamilton,1,
Tennessee,Jefferson,1,
Tennessee,Knox,1,
Tennessee,Rutherford,1,
Tennessee,Shelby,2,
Tennessee,Sullivan,1,
Tennessee,Williamson,9,
Texas,Bell,1,
Texas,Collin,6,
Texas,Dallas,7,
Texas,Fort Bend,6,
Texas,Gregg,1,
Texas,Harris,9,
Texas,Montgomery,3,
Texas,Smith,3,
Texas,Tarrant,1,
Texas,Travis,2,
Utah,Davis ,1,
Utah,Salt Lake,3,
Utah,Summit,2,
Utah,Weber,1,
Virginia,James City,7,
Virginia,Fairfax,6,
Virginia,Arlington,5,
Virginia,Loudoun,3,
Virginia,Virginia Beach,2,
Virginia,Prince William,2,
Virginia,Spotsylvania,1,
Virginia,Prince Edward,1,
Virginia,Hanover,1,
Virginia,Harrisonburg,1,
Virginia,Alexandria,1,
Washington,Clark,1,
Washington,Columbia,1,
Washington,Grant,1,
Washington,Grays Harbor,1,
Washington,Island,3,
Washington,Jefferson,1,
Washington,King,328,
Washington,Kitsap,3,
Washington,Kittitas,3,
Washington,Pierce,19,
Washington,Skagit,3,
Washington,Snohomish,133,
Washington,Thurston,1,
Washington,Whatcom,1,
Washington,Yakima,2,
Wisconsin,Dane,5,
Wisconsin,Fond du Lac,6,
Wisconsin,Milwaukee,2,
Wisconsin,Pierce,1,
Wisconsin,Racine,1,
Wisconsin,Sheboygan,3,
Wisconsin,Waukesha,1,
