NEWAGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,GEO_ID
0,55601,26995,28606,0500000US01001
1,14424,7397,7027,0500000US01001
2,17583,8602,8981,0500000US01001
3,7777,3757,4020,0500000US01001
4,7164,3452,3712,0500000US01001
5,4900,2247,2653,0500000US01001
6,2882,1211,1671,0500000US01001
7,871,329,542,0500000US01001
0,218022,105657,112365,0500000US01003
1,51670,26101,25569,0500000US01003
2,61669,30297,31372,0500000US01003
3,28703,13855,14848,0500000US01003
4,31409,14723,16686,0500000US01003
5,26738,12596,14142,0500000US01003
6,13529,6330,7199,0500000US01003
7,4304,1755,2549,0500000US01003
0,24881,13133,11748,0500000US01005
1,5692,2907,2785,0500000US01005
2,7919,4786,3133,0500000US01005
3,3227,1776,1451,0500000US01005
4,3211,1575,1636,0500000US01005
5,2877,1309,1568,0500000US01005
6,1483,632,851,0500000US01005
7,472,148,324,0500000US01005
0,22400,11921,10479,0500000US01007
1,5052,2660,2392,0500000US01007
2,7582,4429,3153,0500000US01007
3,3179,1733,1446,0500000US01007
4,2897,1472,1425,0500000US01007
5,2174,1031,1143,0500000US01007
6,1153,488,665,0500000US01007
7,363,108,255,0500000US01007
0,57840,28500,29340,0500000US01009
1,14665,7366,7299,0500000US01009
2,17179,8672,8507,0500000US01009
3,7818,3892,3926,0500000US01009
4,7630,3819,3811,0500000US01009
5,6243,2893,3350,0500000US01009
6,3273,1487,1786,0500000US01009
7,1032,371,661,0500000US01009
0,10138,5527,4611,0500000US01011
1,2328,1198,1130,0500000US01011
2,3461,2122,1339,0500000US01011
3,1258,741,517,0500000US01011
4,1430,750,680,0500000US01011
5,948,440,508,0500000US01011
6,529,223,306,0500000US01011
7,184,53,131,0500000US01011
0,19680,9165,10515,0500000US01013
1,4812,2543,2269,0500000US01013
2,5759,2675,3084,0500000US01013
3,2313,1036,1277,0500000US01013
4,2801,1277,1524,0500000US01013
5,2200,1017,1183,0500000US01013
6,1210,480,730,0500000US01013
7,585,137,448,0500000US01013
0,114277,54914,59363,0500000US01015
1,27778,14167,13611,0500000US01015
2,35991,17630,18361,0500000US01015
3,14303,6964,7339,0500000US01015
4,15958,7568,8390,0500000US01015
5,12076,5459,6617,0500000US01015
6,6060,2495,3565,0500000US01015
7,2111,631,1480,0500000US01015
0,33615,16093,17522,0500000US01017
1,7681,3938,3743,0500000US01017
2,10013,4869,5144,0500000US01017
3,4409,2144,2265,0500000US01017
4,4950,2354,2596,0500000US01017
5,3840,1754,2086,0500000US01017
6,1973,836,1137,0500000US01017
7,749,198,551,0500000US01017
0,26032,12896,13136,0500000US01019
1,5535,2816,2719,0500000US01019
2,6827,3447,3380,0500000US01019
3,3590,1843,1747,0500000US01019
4,4100,2001,2099,0500000US01019
5,3545,1734,1811,0500000US01019
6,1899,871,1028,0500000US01019
7,536,184,352,0500000US01019
0,44153,21668,22485,0500000US01021
1,11470,5751,5719,0500000US01021
2,13575,6757,6818,0500000US01021
3,5813,2946,2867,0500000US01021
4,5884,2844,3040,0500000US01021
5,4461,2093,2368,0500000US01021
6,2181,980,1201,0500000US01021
7,769,297,472,0500000US01021
0,12841,6070,6771,0500000US01023
1,2813,1453,1360,0500000US01023
2,3380,1598,1782,0500000US01023
3,1683,786,897,0500000US01023
4,2012,946,1066,0500000US01023
5,1668,731,937,0500000US01023
6,932,424,508,0500000US01023
7,353,132,221,0500000US01023
0,23920,11328,12592,0500000US01025
1,5749,2894,2855,0500000US01025
2,6849,3265,3584,0500000US01025
3,3120,1465,1655,0500000US01025
4,3449,1617,1832,0500000US01025
5,2597,1225,1372,0500000US01025
6,1564,673,891,0500000US01025
7,592,189,403,0500000US01025
0,13275,6492,6783,0500000US01027
1,2984,1566,1418,0500000US01027
2,3732,1817,1915,0500000US01027
3,1849,921,928,0500000US01027
4,1959,957,1002,0500000US01027
5,1525,731,794,0500000US01027
6,914,380,534,0500000US01027
7,312,120,192,0500000US01027
0,14987,7421,7566,0500000US01029
1,3734,1966,1768,0500000US01029
2,4246,2128,2118,0500000US01029
3,2076,1038,1038,0500000US01029
4,2016,972,1044,0500000US01029
5,1692,805,887,0500000US01029
6,884,405,479,0500000US01029
7,339,107,232,0500000US01029
0,51909,25521,26388,0500000US01031
1,13433,6930,6503,0500000US01031
2,16242,8160,8082,0500000US01031
3,6925,3434,3491,0500000US01031
4,6508,3151,3357,0500000US01031
5,5178,2427,2751,0500000US01031
6,2653,1103,1550,0500000US01031
7,970,316,654,0500000US01031
0,54762,26259,28503,0500000US01033
1,12566,6337,6229,0500000US01033
2,16371,8039,8332,0500000US01033
3,7166,3435,3731,0500000US01033
4,7745,3701,4044,0500000US01033
5,6135,2795,3340,0500000US01033
6,3493,1460,2033,0500000US01033
7,1286,492,794,0500000US01033
0,12277,5881,6396,0500000US01035
1,2801,1391,1410,0500000US01035
2,3309,1594,1715,0500000US01035
3,1488,691,797,0500000US01035
4,1917,943,974,0500000US01035
5,1553,731,822,0500000US01035
6,884,394,490,0500000US01035
