GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,respop72017,respop72018,numdiff20172018,percdiff20172018,rank72017,rank72018,numrank20172018,percrank20172018
0400000US72,72,Puerto Rico,0400000US72,72,Puerto Rico,Puerto Rico,3325001,3195153,-129848,-3.9,(X),(X),(X),(X)
0400000US72,72,Puerto Rico,0500000US72001,72001,Puerto Rico - Adjuntas Municipio,Adjuntas Municipio,17935,17302,-633,-3.5,64,64,10,26
0400000US72,72,Puerto Rico,0500000US72003,72003,Puerto Rico - Aguada Municipio,Aguada Municipio,38018,36621,-1397,-3.7,28,28,53,33
0400000US72,72,Puerto Rico,0500000US72005,72005,Puerto Rico - Aguadilla Municipio,Aguadilla Municipio,52915,50598,-2317,-4.4,12,12,68,63
0400000US72,72,Puerto Rico,0500000US72007,72007,Puerto Rico - Aguas Buenas Municipio,Aguas Buenas Municipio,25828,24848,-980,-3.8,49,48,31,39
0400000US72,72,Puerto Rico,0500000US72009,72009,Puerto Rico - Aibonito Municipio,Aibonito Municipio,23054,22143,-911,-4.0,54,54,26,50
0400000US72,72,Puerto Rico,0500000US72011,72011,Puerto Rico - Añasco Municipio,Añasco Municipio,26983,26031,-952,-3.5,46,46,28,25
0400000US72,72,Puerto Rico,0500000US72013,72013,Puerto Rico - Arecibo Municipio,Arecibo Municipio,85422,82114,-3308,-3.9,7,7,71,46
0400000US72,72,Puerto Rico,0500000US72015,72015,Puerto Rico - Arroyo Municipio,Arroyo Municipio,17817,17169,-648,-3.6,65,65,11,31
0400000US72,72,Puerto Rico,0500000US72017,72017,Puerto Rico - Barceloneta Municipio,Barceloneta Municipio,24161,23504,-657,-2.7,52,51,13,3
0400000US72,72,Puerto Rico,0500000US72019,72019,Puerto Rico - Barranquitas Municipio,Barranquitas Municipio,28461,27476,-985,-3.5,43,43,33,19
0400000US72,72,Puerto Rico,0500000US72021,72021,Puerto Rico - Bayamón Municipio,Bayamón Municipio,178493,170480,-8013,-4.5,2,2,77,69
0400000US72,72,Puerto Rico,0500000US72023,72023,Puerto Rico - Cabo Rojo Municipio,Cabo Rojo Municipio,48614,47117,-1497,-3.1,16,16,56,11
0400000US72,72,Puerto Rico,0500000US72025,72025,Puerto Rico - Caguas Municipio,Caguas Municipio,129246,124434,-4812,-3.7,5,5,74,35
0400000US72,72,Puerto Rico,0500000US72027,72027,Puerto Rico - Camuy Municipio,Camuy Municipio,31685,30503,-1182,-3.7,38,38,42,36
0400000US72,72,Puerto Rico,0500000US72029,72029,Puerto Rico - Canóvanas Municipio,Canóvanas Municipio,45687,44296,-1391,-3.0,19,19,52,10
0400000US72,72,Puerto Rico,0500000US72031,72031,Puerto Rico - Carolina Municipio,Carolina Municipio,154124,147661,-6463,-4.2,3,3,75,59
0400000US72,72,Puerto Rico,0500000US72033,72033,Puerto Rico - Cataño Municipio,Cataño Municipio,24309,23244,-1065,-4.4,51,52,35,64
0400000US72,72,Puerto Rico,0500000US72035,72035,Puerto Rico - Cayey Municipio,Cayey Municipio,43893,42349,-1544,-3.5,20,20,59,23
0400000US72,72,Puerto Rico,0500000US72037,72037,Puerto Rico - Ceiba Municipio,Ceiba Municipio,11543,11018,-525,-4.5,73,73,9,71
0400000US72,72,Puerto Rico,0500000US72039,72039,Puerto Rico - Ciales Municipio,Ciales Municipio,16584,15918,-666,-4.0,67,67,15,54
0400000US72,72,Puerto Rico,0500000US72041,72041,Puerto Rico - Cidra Municipio,Cidra Municipio,39727,38288,-1439,-3.6,24,24,54,30
0400000US72,72,Puerto Rico,0500000US72043,72043,Puerto Rico - Coamo Municipio,Coamo Municipio,38959,37845,-1114,-2.9,25,25,37,6
0400000US72,72,Puerto Rico,0500000US72045,72045,Puerto Rico - Comerío Municipio,Comerío Municipio,19278,18598,-680,-3.5,61,61,17,24
0400000US72,72,Puerto Rico,0500000US72047,72047,Puerto Rico - Corozal Municipio,Corozal Municipio,33599,32320,-1279,-3.8,36,36,48,40
0400000US72,72,Puerto Rico,0500000US72049,72049,Puerto Rico - Culebra Municipio,Culebra Municipio,1770,1710,-60,-3.4,78,78,1,16
0400000US72,72,Puerto Rico,0500000US72051,72051,Puerto Rico - Dorado Municipio,Dorado Municipio,36900,35779,-1121,-3.0,33,32,38,9
